question,answer
विज्ञान क्या है?,"यह सोचने, देखने और हमारे चारों ओर की दुनिया को समझने का एक तरीका है।"
विज्ञान में जिज्ञासा क्यों महत्वपूर्ण है?,जिज्ञासा हमें दुनिया के बारे में प्रश्न पूछने और उत्तर खोजने के लिए प्रेरित करती है।
पृथ्वी को क्या अनूठा बनाता है?,पृथ्वी एकमात्र ऐसा ग्रह है जिस पर जीवन है।
विज्ञान जिगसॉ पजल की तरह कैसे है?,हर नई खोज हमारी समझ में एक और टुकड़ा जोड़ती है।
वैज्ञानिक विधि क्या है?,"एक चरणबद्ध प्रक्रिया: देखना, प्रश्न करना, परिकल्पना बनाना, प्रयोग करना, विश्लेषण करना।"
भोजन के दो मुख्य स्रोत क्या हैं?,पौधे और जानवर भोजन के दो मुख्य स्रोत हैं।
शाकाहारी क्या होते हैं?,वे जानवर जो केवल पौधे खाते हैं।
मांसाहारी क्या होते हैं?,वे जानवर जो केवल अन्य जानवरों को खाते हैं।
सर्वाहारी क्या होते हैं?,वे जानवर जो पौधे और जानवर दोनों खाते हैं।
पौधों से मिलने वाले भोजन के उदाहरण दें।,"चावल, गेहूं, फल, सब्जियां, दालें।"
जानवरों से मिलने वाले भोजन के उदाहरण दें।,"दूध, अंडे, मांस, मछली, शहद।"
अमृत क्या है?,फूलों द्वारा बनाया गया मीठा तरल जिसे मधुमक्खियां शहद बनाने के लिए इकट्ठा करती हैं।
पौधों से मिलने वाले कुछ मसालों के नाम बताएं।,"हल्दी, धनिया, जीरा, काली मिर्च, इलायची।"
पोषक तत्व क्या हैं?,भोजन में पाए जाने वाले वे पदार्थ जो ऊर्जा प्रदान करते हैं और हमारे शरीर की वृद्धि में सहायक होते हैं।
भोजन में मुख्य पोषक तत्वों के नाम बताएं।,"कार्बोहाइड्रेट, प्रोटीन, वसा, विटामिन, खनिज, और पानी।"
कार्बोहाइड्रेट क्या हैं?,वे पोषक तत्व जो हमारे शरीर को ऊर्जा प्रदान करते हैं।
प्रोटीन क्या हैं?,हमारे शरीर की वृद्धि और मरम्मत के लिए आवश्यक पोषक तत्व।
वसा क्या है?,वे पोषक तत्व जो ऊर्जा प्रदान करते हैं और विटामिन को अवशोषित करने में मदद करते हैं।
विटामिन क्या हैं?,शरीर के उचित कार्यप्रणाली के लिए थोड़ी मात्रा में आवश्यक पोषक तत्व।
खनिज क्या हैं?,"स्वस्थ हड्डियों, दांतों और रक्त के लिए आवश्यक पोषक तत्व।"
संतुलित आहार क्या है?,वह आहार जिसमें सभी पोषक तत्व उचित मात्रा में हों।
कुपोषण क्या है?,आहार में उचित पोषक तत्वों की कमी के कारण होने वाली स्थिति।
स्कर्वी का कारण क्या है?,विटामिन सी की कमी से स्कर्वी होता है।
चुंबक क्या है?,वह वस्तु जो लोहे और अन्य चुंबकीय पदार्थों को आकर्षित करती है।
चुंबक के ध्रुव क्या हैं?,उत्तरी ध्रुव और दक्षिणी ध्रुव चुंबक के दो ध्रुव हैं।
समान ध्रुवों के मिलने पर क्या होता है?,समान ध्रुव एक दूसरे को प्रतिकर्षित करते हैं।
विपरीत ध्रुवों के मिलने पर क्या होता है?,विपरीत ध्रुव एक दूसरे को आकर्षित करते हैं।
कुछ चुंबकीय पदार्थों के नाम बताएं।,"लोहा, निकल, कोबाल्ट चुंबकीय पदार्थ हैं।"
कुछ अचुंबकीय पदार्थों के नाम बताएं।,"लकड़ी, प्लास्टिक, कांच, रबर अचुंबकीय पदार्थ हैं।"
